Label,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,ASM0,ASM45,ASM90,ASM135
corrosion,2.43763787,5.25748558,4.49715074,5.28493656,0.71006434,1.13036524,1.01776961,1.14754325,0.7591556,0.68015865,0.70231391,0.67504657,0.19239148,0.17357328,0.18086937,0.1720411,0.92918031,0.84732486,0.86939431,0.84652937,0.03701448,0.03012768,0.03271373,0.02959814
corrosion,0.28157169,0.6804306,0.60654105,0.79672434,0.22054228,0.37024221,0.32596507,0.40585928,0.89561122,0.84163692,0.86131945,0.8305115,0.35215864,0.3327103,0.33998804,0.32819482,0.99189769,0.98042316,0.98253747,0.97707653,0.12401571,0.11069614,0.11559187,0.10771184
corrosion,1.47852328,2.94988082,2.35693934,3.01244137,0.63838848,0.98755863,0.86214767,1.00195309,0.7451316,0.65080761,0.68289412,0.64783909,0.18701905,0.15728883,0.16382826,0.15687542,0.9440481,0.88863993,0.91108344,0.88626119,0.03497612,0.02473978,0.0268397,0.0246099
corrosion,1.14549632,1.68971934,1.15845588,1.66631296,0.61920956,0.7985544,0.61504289,0.79012687,0.73673421,0.67686594,0.73995735,0.67998301,0.36250116,0.33649912,0.36506055,0.33767632,0.61710558,0.43518581,0.6128595,0.44300245,0.13140709,0.11323166,0.1332692,0.1140253
corrosion,0.39840686,1.13910035,0.87530637,1.09553249,0.25238971,0.51733948,0.42126225,0.50723568,0.88563828,0.79128953,0.82604446,0.79302648,0.26005545,0.22141659,0.23418892,0.22124986,0.97845213,0.93835348,0.95262244,0.94075066,0.06762884,0.0490253,0.05484445,0.0489515
corrosion,0.89439338,1.5058516,0.72398897,1.16352172,0.60802696,0.83672434,0.53719363,0.71815456,0.72360107,0.64519335,0.74979172,0.6837235,0.18469828,0.16286623,0.19268849,0.17296117,0.93909207,0.89756053,0.95073303,0.92083848,0.03411346,0.02652541,0.03712885,0.02991557
corrosion,2.48469669,5.61078047,4.05548407,4.71878508,0.65571385,1.08202999,0.88575368,0.99006536,0.78578671,0.70932093,0.73939047,0.71996186,0.24855521,0.23082758,0.23700588,0.23213456,0.92640988,0.83411131,0.88002826,0.86049099,0.06177969,0.05328137,0.05617179,0.05388645
corrosion,1.07270221,1.60802768,1.02495404,1.75015763,0.51991422,0.69397924,0.52991728,0.72793541,0.78428143,0.72501367,0.7780718,0.71715151,0.24377684,0.22900655,0.24200379,0.22723628,0.97912313,0.96864408,0.98002248,0.96587645,0.05942715,0.052444,0.05856583,0.05163633
corrosion,2.06269914,2.83735486,1.83164828,3.12979623,0.88200061,1.09851596,0.8114277,1.14366782,0.65829273,0.59423689,0.6796462,0.58788299,0.23036899,0.21149055,0.23859662,0.21015116,0.71817757,0.6123613,0.74952211,0.57240708,0.05306987,0.04472825,0.05692835,0.04416351
corrosion,0.2294424,0.84995002,0.70142463,0.80373702,0.14313725,0.34860438,0.29817708,0.33859285,0.93615132,0.86593893,0.88351104,0.86857955,0.37190133,0.33907408,0.34540721,0.33980414,0.97551539,0.90944488,0.92531855,0.91436022,0.1383106,0.11497123,0.11930614,0.11546685
corrosion,0.99122243,1.89245675,1.3649663,1.92193772,0.52486213,0.80487505,0.63616728,0.80938101,0.77708438,0.6875567,0.74318225,0.68637108,0.19344038,0.1698782,0.18289826,0.16849559,0.96251793,0.92848354,0.94838067,0.92739468,0.03741918,0.0288586,0.03345177,0.02839076
corrosion,1.79422488,3.00087659,2.36928615,3.20290657,0.72789522,0.96550557,0.81236213,0.99535563,0.71050453,0.64648056,0.69378183,0.64347484,0.1537218,0.13945086,0.15082735,0.139098,0.95369065,0.92225058,0.9387243,0.91708513,0.02363039,0.01944654,0.02274889,0.01934825
corrosion,1.67245711,1.80782776,1.41704963,1.80936563,0.67938113,0.73931565,0.60626532,0.74214533,0.7457278,0.72197268,0.76678397,0.72002984,0.21241411,0.20252944,0.21591316,0.20104273,0.95818138,0.95482833,0.96455356,0.954789,0.04511975,0.04101818,0.04661849,0.04041818
corrosion,3.16476716,3.07178777,2.67153799,3.08215302,1.35116422,1.33396386,1.21957721,1.33722414,0.49127579,0.49443319,0.52524285,0.49341625,0.21093556,0.21111505,0.21584431,0.21089757,0.16668953,0.1916813,0.29706856,0.18895343,0.04449381,0.04456957,0.04658877,0.04447779
corrosion,0.93449755,1.3716263,0.90942096,1.31727797,0.51871936,0.65504037,0.5009038,0.64119954,0.7762704,0.73161078,0.78433374,0.73568482,0.42048811,0.39815541,0.42593775,0.40024123,0.69538839,0.55249236,0.70355296,0.57022682,0.17681025,0.15852773,0.18142296,0.16019305
corrosion,2.72095588,3.8099654,2.39322917,4.09428681,0.77169118,0.96798155,0.72018995,1.00744329,0.73530042,0.69060669,0.74718568,0.68442648,0.20856934,0.19507313,0.21370154,0.19377345,0.88922,0.84430402,0.90235142,0.83267195,0.04350117,0.03805353,0.04566835,0.03754815
corrosion,1.26683517,2.04739715,1.29888174,2.09663975,0.61551777,0.84429066,0.65908395,0.8440446,0.74487774,0.67313279,0.72463585,0.67443657,0.16909189,0.15247962,0.16303785,0.15227267,0.96829882,0.94869742,0.96746331,0.94742977,0.02859207,0.02325003,0.02658134,0.02318697
corrosion,0.8694087,1.24536717,0.70294118,1.27232603,0.54750306,0.70292964,0.47110907,0.69107266,0.75602855,0.69775466,0.78549614,0.70525326,0.19176151,0.17357377,0.20134727,0.17640794,0.95700835,0.93825091,0.96521511,0.9369322,0.03677248,0.03012785,0.04054073,0.03111976
corrosion,1.62627145,2.54697424,1.49231005,2.44811995,0.75007659,1.01534794,0.71801471,1.00116878,0.69980703,0.61785052,0.70618104,0.61990633,0.17497109,0.15239099,0.17398126,0.15273104,0.92996751,0.89043206,0.93583178,0.89467996,0.03061488,0.02322301,0.03026948,0.02332677
corrosion,4.2458027,4.39438677,3.82504596,4.31546328,1.45569853,1.49648597,1.34039522,1.47455594,0.50067494,0.48947274,0.53314225,0.49488021,0.13434009,0.13247786,0.14062436,0.13291899,0.77280817,0.76461376,0.79479958,0.76885573,0.01804726,0.01755038,0.01977521,0.01766746
